"[(A.E.) Me siento emocionalmente defraudado en mi trabajo]","[(A.E.) Cuando termino mi jornada de trabajo me siento agotado]","[(A.E.) Cuando me levanto por la mañana y me enfrento a otra jornada de trabajo me siento agotado]","[(A.E.) Me siento como si estuviera al límite de mis posibilidades]","[(A.E.) Siento que trabajar todo el día con la gente me cansa]","[(A.E.) Siento que trabajar en contacto directo con la gente me cansa]","[(A.E.) Siento que mi trabajo me está desgastando]","[(A.E.) Me siento frustrado por el trabajo]","[(A.E.) Siento que estoy demasiado tiempo en mi trabajo]","[(R.P.) Siento que puedo entender fácilmente a las personas que tengo que atender]","[(R.P.) Siento que trato con mucha efectividad los problemas de las personas a las que]","[(R.P.) Siento que estoy influyendo positivamente en las vidas de otras personas a través de mi trabajo]","[(R.P.) Me siento muy enérgico en mi trabajo]","[(R.P.) Siento que en mi trabajo los problemas emocionales son tratados de forma adecuada]","[(R.P.) Creo que consigo muchas cosas valiosas en este trabajo]","[(R.P.) Siento que puedo crear con facilidad un clima agradable en mi trabajo]","[(R.P.) Me siento estimulado después de haber trabajado íntimamente con quienes tengo que atender]","[(D.) Siento que estoy tratando a algunos beneficiados de mí como si fueran objetos impersonales]","[(D.) Siento que me he hecho más duro con la gente]","[(D.) Me preocupa que este trabajo me esté endureciendo emocionalmente]","[(D.) Siento que realmente no me importa lo que les ocurra a las personas a las que]","[(D.) Me parece que los beneficiarios de mi trabajo me culpan de algunos problemas]","[(H.C.D.) Siento que paso demasiadas horas conectado a dispositivos digitales por motivos de trabajo.]","[(H.C.D.) Me resulta difícil desconectarme del correo mensajes o plataformas laborales al terminar mi jornada.]","[(H.C.D.) Siento que debo estar disponible digitalmente incluso fuera de mi horario laboral.]","[(H.C.D.) Las notificaciones correos o mensajes de trabajo interrumpen mi descanso o tiempo personal.]","[(H.C.D.) Siento que el uso constante de herramientas digitales aumenta mi agotamiento.]","[(H.C.D.) Me cuesta dejar de revisar asuntos laborales en el teléfono computadora o plataformas digitales.]","[(H.C.D.) Siento que la conexión digital prolongada afecta negativamente mi bienestar.]","[(C.) Me siento cansado incluso antes de comenzar mis actividades laborales.]","[(C.) Siento que mi energía disminuye rápidamente durante la jornada de trabajo.]","[(C.) Cuando termino mi trabajo siento que no tengo fuerzas para realizar otras actividades.]","[(C.) Me siento físicamente agotado por las exigencias de mi trabajo.]","[(C.) Siento cansancio mental al tener que concentrarme durante mucho tiempo.]","[(C.) Me cuesta recuperarme del cansancio después de una jornada laboral.]","[(C.) Siento que el cansancio acumulado afecta mi rendimiento en el trabajo.]","[(C.T.P.) Siento que tengo más tareas de las que puedo realizar adecuadamente.]","[(C.T.P.) Siento que el tiempo disponible no es suficiente para cumplir con mis responsabilidades laborales.]","[(C.T.P.) Me siento presionado por la cantidad de trabajo que debo realizar.]","[(C.T.P.) Siento que debo trabajar a un ritmo excesivo para cumplir con mis obligaciones.]","[(C.T.P.) Siento que la acumulación de tareas afecta mi tranquilidad y bienestar.]","[(C.T.P.) Me resulta difícil atender todas mis tareas sin sentirme sobrecargado.]","[(T.O.) Puedo dedicar tiempo a mis hobbies o actividades personales.]","[(T.O.) Dispongo de tiempo para compartir con amigos o familiares.]","[(T.O.) Dedico parte de mi semana al entretenimiento o la relajación.]","[(T.O.) Siento que tengo un buen equilibrio entre trabajo y descanso.]","[(T.O.) Puedo desconectarme fácilmente de mis obligaciones.]","[(T.O.) Tengo tiempo para realizar actividades recreativas.]","[(R.) Recibo reconocimiento por mis logros.]","[(R.) Las recompensas que recibo aumentan mi motivación.]","[(R.) Siento motivación gracias a los incentivos que obtengo.]","[(R.) Me siento valorado en mi entorno laboral o académico.]","[(R.) Mi esfuerzo suele ser reconocido.]","[(R.) Siento satisfacción con las recompensas que recibo.]","[(R.) Las recompensas que recibo son justas.]","[(A.F.) Realizo ejercicio físico de manera frecuente.]","[(A.F.) Camino o me movilizo constantemente durante el día.]","[(A.F.) Practico actividades recreativas que requieren movimiento físico.]","[(A.F.) Me siento físicamente activo la mayor parte de la semana.]","[(A.F.) Mi rutina diaria incluye esfuerzo físico moderado o alto.]","[(A.F.) Mantengo una rutina físicamente activa.]","[(A.F.) Me siento con energía para realizar ejercicio físico.]","[(A.F.) Dedico tiempo a cuidar mi condición física.]"
2,3,4,3,2,3,3,4,3,2,2,3,3,4,4,2,3,3,3,2,4,3,3,2,4,3,3,2,3,3,2,4,4,3,2,3,2,3,2,3,3,3,3,4,4,4,2,2,3,4,5,3,4,5,1,3,4,4,3,2,3,3,4
5,5,4,5,5,4,5,4,5,1,1,1,2,1,1,1,1,5,4,5,4,5,5,4,5,4,4,5,5,5,4,5,4,4,5,5,5,5,4,4,5,4,1,1,1,1,2,1,4,2,3,3,2,5,1,3,4,2,5,2,4,2,3
5,5,5,4,5,5,3,5,5,2,1,1,2,1,1,1,1,5,5,4,3,5,5,5,3,5,4,5,5,5,3,5,4,5,5,4,5,4,5,3,5,5,1,1,1,2,2,1,2,4,1,1,1,5,4,3,5,4,1,3,3,3,3
5,4,5,5,5,5,4,5,4,1,1,2,1,1,1,3,1,5,4,5,5,3,5,4,5,4,4,5,4,5,4,5,4,5,4,5,5,4,5,4,5,4,1,3,2,1,1,1,3,4,2,5,2,4,2,5,2,3,2,4,2,1,1
5,4,5,4,5,5,5,5,4,2,2,1,2,1,1,1,1,4,5,4,4,4,5,4,5,5,5,4,5,4,5,5,5,5,4,5,5,4,5,5,4,5,1,2,1,1,3,1,1,1,2,1,4,2,4,2,4,2,4,2,2,2,1
5,4,4,5,4,5,4,5,5,1,2,1,1,2,1,1,1,5,4,5,4,5,5,5,4,4,5,5,5,4,5,4,5,5,3,5,4,5,4,4,5,5,1,1,1,1,1,1,5,2,2,4,3,3,3,1,4,4,1,4,2,4,2
5,5,5,5,4,5,5,5,5,1,1,1,2,1,1,1,1,3,5,5,5,5,3,4,5,5,5,4,5,5,4,3,4,5,5,5,4,5,4,4,4,5,2,2,1,1,1,1,2,3,2,3,3,3,3,2,1,3,4,5,3,2,4
5,4,5,5,4,5,5,5,5,1,2,1,2,1,1,1,2,5,4,5,3,4,5,4,5,4,3,4,5,5,5,4,5,3,5,5,4,5,4,5,4,4,1,1,2,1,2,1,2,4,2,3,3,5,5,1,1,5,3,3,5,2,2
1,1,1,1,1,1,1,1,1,5,4,5,4,5,5,5,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,5,4,5,5,4,4,3,2,3,4,2,3,4,5,3,2,3,3,3,3
5,5,4,5,4,5,4,5,5,1,1,1,1,2,1,2,2,4,5,4,4,3,5,4,5,4,5,5,5,5,4,5,4,5,5,4,5,4,4,5,5,4,5,1,2,2,2,1,2,4,2,4,2,3,3,3,5,5,4,1,1,4,2
1,1,1,1,1,1,1,1,1,5,5,4,5,5,5,4,5,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,4,5,4,5,5,4,3,2,3,3,2,4,3,2,4,3,4,2,3,1
1,1,2,1,1,1,1,1,1,4,5,5,5,5,4,5,5,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,4,5,5,4,5,5,5,5,5,5,5,3,2,2,3,2,3,4,2,3,3
5,4,5,5,4,5,5,4,5,1,2,1,2,2,2,1,2,5,4,5,5,5,4,3,5,4,5,4,5,3,5,5,4,4,4,5,3,4,5,4,4,5,1,2,1,1,1,3,5,4,3,4,2,4,3,2,4,4,2,4,3,4,2
1,2,1,1,1,1,1,1,1,5,4,4,5,5,5,5,5,2,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,5,5,5,4,5,5,2,1,2,2,3,4,2,3,3,4,1,5,5,5,3
1,2,2,1,1,1,1,1,1,5,5,4,5,5,5,4,5,2,1,1,1,1,2,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,2,1,1,5,5,4,5,5,5,4,4,2,2,3,4,3,2,4,2,3,4,3,2,3
5,4,5,4,5,4,3,4,4,2,2,2,1,1,1,1,1,4,5,4,5,5,5,4,5,5,5,5,3,5,5,4,3,4,5,5,4,5,3,4,5,5,1,2,1,2,1,2,2,4,2,4,3,5,5,5,4,2,2,2,2,1,2
